Date,Close,Adj Close,Volume
2020-09-30,49.369999,48.985905,15753700
2020-10-01,49.180000,48.797386,17577300
2020-10-02,49.360001,48.975986,13610100
2020-10-05,49.380001,48.995831,10628700
2020-10-06,48.939999,48.559250,10077400
2020-10-07,49.560001,49.174431,10135600
2020-10-08,50.459999,50.067425,12143900
2020-10-09,50.810001,50.414703,11407800
2020-10-12,51.090000,50.692524,11386500
2020-10-13,50.220001,49.829296,14365300
2020-10-14,50.119999,49.730072,10582900
2020-10-15,49.990002,49.601086,9961700
2020-10-16,50.029999,49.640770,13569800
2020-10-19,49.619999,49.233959,9930400
2020-10-20,50.250000,49.859058,10970700
2020-10-21,49.990002,49.601086,12517400
2020-10-22,50.680000,50.285717,20189200
2020-10-23,50.520000,50.126961,13491300
2020-10-26,49.799999,49.412560,14696400
2020-10-27,49.900002,49.511784,13892100
2020-10-28,47.959999,47.586876,19886200
2020-10-29,48.020000,47.646408,15369900
2020-10-30,48.060001,47.686100,15804000
2020-11-02,48.619999,48.241741,15156100
2020-11-03,49.349998,48.966061,15285100
2020-11-04,49.169998,48.787460,12930800
2020-11-05,49.439999,49.055359,12452400
2020-11-06,49.450001,49.065285,9294900
2020-11-09,52.570000,52.161011,33442000
2020-11-10,53.980000,53.560040,29706700
2020-11-11,53.580002,53.163155,17399900
2020-11-12,53.009998,52.597588,15024400
2020-11-13,53.450001,53.034164,12447900
2020-11-16,53.849998,53.431049,14908200
2020-11-17,53.680000,53.262375,14248400
2020-11-18,52.610001,52.200699,15278200
2020-11-19,53.130001,52.716656,17189500
2020-11-20,52.669998,52.260231,15645600
2020-11-23,52.680000,52.270157,13191900
2020-11-24,53.220001,52.805954,13827600
2020-11-25,52.930000,52.518211,10194800
2020-11-27,52.700001,52.290001,8499300
2020-11-30,51.599998,51.599998,43203600
2020-12-01,52.040001,52.040001,18969300
2020-12-02,52.110001,52.110001,14913100
2020-12-03,52.779999,52.779999,17318900
2020-12-04,53.849998,53.849998,18122400
2020-12-07,52.990002,52.990002,16210900
2020-12-08,53.180000,53.180000,12485800
2020-12-09,53.330002,53.330002,11508400
2020-12-10,53.049999,53.049999,12097300
2020-12-11,53.349998,53.349998,10638100
2020-12-14,53.270000,53.270000,22292000
2020-12-15,53.840000,53.840000,16194500
2020-12-16,53.060001,53.060001,15679600
2020-12-17,53.270000,53.270000,12677300
2020-12-18,53.740002,53.740002,35480100
2020-12-21,52.810001,52.810001,14926600
2020-12-22,52.759998,52.759998,9689500
2020-12-23,53.080002,53.080002,7040300
2020-12-24,53.439999,53.439999,3265500
2020-12-28,54.160000,54.160000,9020500
2020-12-29,54.130001,54.130001,8318800